"project_id","project_title","category","station_code","division","zone_code","zone_name","sanction_reference","sanction_year","estimated_cost_crores","physical_progress_pct","financial_progress_pct","ni_block_hours","pre_ni_shadow_blocks","twr_approved","crs_sanction_ref","sr_dso_clearance","target_commissioning_date","ni_status","bdms_ni_demand_id","transfer_status","trains_cancelled","trains_diverted","trains_short_terminated","mega_block_start_date","mega_block_end_date","project_manager","contractor","works_programme_ref","latitude","longitude"
"PB-CR-00001","Optical Fibre Cable (OFC) Network Expansion for Data Communication","OFC Telecom","Kota Jn","Solapur","CR","Central Railway","LAW Sanction Item 2025-26","2025-26",18.35,75,60,12,26,TRUE,"CRS/CR/262/2026",TRUE,"2026-11-30","NI In Progress",,"Pending Transfer",8,23,9,"2026-09-04","2026-09-08","Rajesh Kumar (DSTE/Solapur)","Thales India","WP/CR/2025-26/27",10.71,81.01
"PB-NER-00002","Optical Fibre Cable (OFC) Network Expansion for Data Communication","OFC Telecom","Ajmer Jn","Izzatnagar","NER","North Eastern Railway","LAW Sanction Item 2025-26","2025-26",18.79,68,78,12,29,TRUE,"CRS/NER/995/2026",TRUE,"2026-10-06","NI In Progress","BDMS-NI-2026-NER-00002","Transferred to BDMS",8,14,10,"2026-09-03","2026-09-12","Om Prakash (DSTE/Izzatnagar)","Siemens Rail","WP/NER/2025-26/36",21.36,71.57
"PB-CR-00003","Complete Track Circuit Renewal with MSDAC High-Frequency Axle Counters","Track Detection","Bhubaneswar","Bhusaval","CR","Central Railway","LAW Sanction Item 2023-24","2023-24",17.63,8,8,24,27,FALSE,"CRS/CR/653/2026",FALSE,"2028-09-11","Delayed / Revised","BDMS-NI-2026-CR-00003","Transferred to BDMS",0,0,0,,,"Ravi Shankar (DSTE/Bhusaval)","Thales India","WP/CR/2023-24/166",27.01,92.72
"PB-ECR-00004","Replacement of Mechanical/Electrical Signalling with Panel Interlocking","Panel IL Commissioning","Mumbai CST","Dhanbad","ECR","East Central Railway","Pink Book Item 2025-26","2025-26",34.83,92,83,60,26,TRUE,"CRS/ECR/786/2026",TRUE,"2028-06-17","Sanctioned (Awaiting NI)","BDMS-NI-2026-ECR-00004","Transferred to BDMS",0,0,0,,,"Santosh Nair (DSTE/Dhanbad)","Alstom India","WP/ECR/2025-26/24",26.21,90.38
"PB-NFR-00005","Replacement of Route Relay Interlocking (RRI) with Electronic Interlocking (EI)","EI Commissioning","Bilaspur Jn","Lumding","NFR","Northeast Frontier Railway","Pink Book Item 2025-26","2025-26",56.44,56,61,48,17,TRUE,"CRS/NFR/464/2026",TRUE,"2027-01-27","Sanctioned (Awaiting NI)","BDMS-NI-2026-NFR-00005","Transferred to BDMS",0,0,0,,,"Kishore Nath (DSTE/Lumding)","Alstom India","WP/NFR/2025-26/43",30.35,72.31
"PB-ER-00006","Installation of KAVACH (Indigenous ATP) System on Mainline Section","Safety / Kavach","Kota Jn","Malda","ER","Eastern Railway","Pink Book Item 2022-23","2022-23",49.46,3,0,36,5,FALSE,"CRS/ER/235/2026",FALSE,"2027-01-18","Commissioned","BDMS-NI-2026-ER-00006","Transferred to BDMS",0,0,0,,,"Santosh Nair (DSTE/Malda)","Alstom India","WP/ER/2022-23/70",12.91,93.82
"PB-SER-00007","Installation of KAVACH (Indigenous ATP) System on Mainline Section","Safety / Kavach","Wadi Jn","Chakradharpur","SER","South Eastern Railway","Pink Book Item 2023-24","2023-24",109.69,72,76,36,16,TRUE,"CRS/SER/814/2026",TRUE,"2027-08-12","NI In Progress",,"Pending Transfer",41,20,15,"2026-09-01","2026-09-07","Dharmendra Pal (DSTE/Chakradharpur)","Thales India","WP/SER/2023-24/60",25.77,69.46
"PB-WCR-00008","Provision of Automatic Block Signalling (ABS) on Double Line Section","ABS Commissioning","Manmad Jn","Bhopal","WCR","West Central Railway","Pink Book Item 2024-25","2024-25",28.4,5,0,48,12,FALSE,"CRS/WCR/809/2026",FALSE,"2028-12-21","Commissioned","BDMS-NI-2026-WCR-00008","Transferred to BDMS",0,0,0,,,"Brij Kishore (DSTE/Bhopal)","L&T","WP/WCR/2024-25/18",29.29,92.54
"PB-SECR-00009","Replacement of Mechanical/Electrical Signalling with Panel Interlocking","Panel IL Commissioning","Bilaspur Jn","Bilaspur","SECR","South East Central Railway","Pink Book Item 2022-23","2022-23",24.97,59,62,60,30,TRUE,"CRS/SECR/151/2026",TRUE,"2027-06-13","Sanctioned (Awaiting NI)","BDMS-NI-2026-SECR-00009","Transferred to BDMS",0,0,0,,,"Ganesh Iyer (DSTE/Bilaspur)","RITES","WP/SECR/2022-23/32",8.94,88.58
"PB-NER-00010","Replacement of Route Relay Interlocking (RRI) with Electronic Interlocking (EI)","EI Commissioning","Surat","Varanasi","NER","North Eastern Railway","Pink Book Item 2022-23","2022-23",31.88,19,18,48,21,FALSE,"CRS/NER/264/2026",FALSE,"2027-07-03","NI In Progress","BDMS-NI-2026-NER-00010","Transferred to BDMS",41,17,4,"2026-08-23","2026-09-09","Girish Kale (DSTE/Varanasi)","IRCON","WP/NER/2022-23/43",8.53,75.78
