"demand_id","notice_number","reconnect_notice_number","date","station_code","division","zone_code","zone_name","line_affected","gear_type","gear_type_name","gear_number","asset_id","work_description","block_type","shadow_pway_combine","requested_minutes","sanctioned_minutes","actual_utilized_minutes","burst_minutes","utilization_percentage","status","points_clamped","signals_held_at_danger","obstruction_test_passed","friction_clutch_torque_normal","track_circuit_relay_verified","joint_trial_run_conducted","sign_off_officer","station_master","safety_precautions_confirmed","digital_signature_valid","latitude","longitude"
"BDMS-DISC-2026-00001","e-T351/WadiJn/2026/0001","e-T351-REC/WadiJn/2026/0001","2025-10-04","Wadi Jn","Ranchi","SER","South Eastern Railway","Wadi Jn UP Goods Line (Track 3)","TC","Track Circuits","GR-15000","TC-000124","Level Crossing Gate Interlocking Wiring Modification","Traffic Block & Disconnection",FALSE,60,60,54,0,90,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Raghav Pandey (SSE/Sig/Wadi Jn)","A. K. Singh (SM/Wadi Jn)",TRUE,TRUE,20.75,93.28
"BDMS-DISC-2026-00002","e-T351/ChennaiCentral/2026/0002",,"2026-08-06","Chennai Central","Nagpur","CR","Central Railway","Chennai Central DN Goods Line (Track 3)","AXC","Axle Counters","GR-08273","AXC-001541","Axle Counter Wheel Sensor High Frequency Alignment","Traffic Block (Shadow)",TRUE,120,120,129,9,107.5,"Pending Sanction",TRUE,TRUE,FALSE,,,FALSE,"Anil Gupta (SSE/Sig/Chennai Central)","J. P. Rao (SM/Chennai Central)",TRUE,TRUE,19.47,71.5
"BDMS-DISC-2026-00003","e-T351/AmbalaCantt/2026/0003","e-T351-REC/AmbalaCantt/2026/0003","2026-07-09","Ambala Cantt","Prayagraj","NCR","North Central Railway","Ambala Cantt UP Loop Line (Track 4)","LC","Level Crossing Gates","GR-08837","LC-001251","Relay Replacement & Circuit Continuity Verification","S&T Disconnection Notice",FALSE,60,60,53,0,88.3,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Ajay Thakur (SSE/Sig/Ambala Cantt)","L. K. Das (SM/Ambala Cantt)",TRUE,TRUE,24.62,68.65
"BDMS-DISC-2026-00004","e-T351/NagpurJn/2026/0004",,"2026-07-13","Nagpur Jn","Bikaner","NWR","North Western Railway","Nagpur Jn DN Goods Line (Track 3)","CLS","Color Light Signals","GR-23631","CLS-000668","Axle Counter Wheel Sensor High Frequency Alignment","Traffic Block (Shadow)",TRUE,45,45,36,0,80,"Pending Sanction",TRUE,TRUE,FALSE,,,FALSE,"Nitin Agarwal (SSE/Sig/Nagpur Jn)","P. K. Mishra (SM/Nagpur Jn)",TRUE,TRUE,11.9,70.5
"BDMS-DISC-2026-00005","e-T351/MaldaTown/2026/0005",,"2026-05-02","Malda Town","Jaipur","NWR","North Western Railway","Malda Town UP Goods Line (Track 2)","TC","Track Circuits","GR-71153","TC-001203","Signal Cable Re-termination at Location Box","S&T Disconnection Notice",FALSE,45,0,0,0,0,"Refused by Controller",FALSE,FALSE,FALSE,,,FALSE,"Ramesh Tiwari (SSE/Sig/Malda Town)","B. R. Verma (SM/Malda Town)",FALSE,FALSE,25.48,92.93
"BDMS-DISC-2026-00006","e-T351/Nanded/2026/0006","e-T351-REC/Nanded/2026/0006","2025-11-01","Nanded","Madgaon","KRCL","Konkan Railway","Nanded UP Goods Line (Track 4)","PWR","Power Supply Equipment","GR-20327","PWR-000029","Relay Replacement & Circuit Continuity Verification","S&T Disconnection Notice",FALSE,90,90,75,0,83.3,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Ramesh Tiwari (SSE/Sig/Nanded)","K. P. Saxena (SM/Nanded)",TRUE,TRUE,29.96,82.92
"BDMS-DISC-2026-00007","e-T351/Bhubaneswar/2026/0007","e-T351-REC/Bhubaneswar/2026/0007","2025-10-20","Bhubaneswar","Samastipur","ECR","East Central Railway","Bhubaneswar DN Goods Line (Track 1)","EI","Electronic Interlocking","GR-30643","EI-001292","Insulated Rail Joint (IRJ) End Post Replacement at Point","Joint Traffic Block (S&T + P-Way)",TRUE,90,90,79,0,87.8,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Kamlesh Joshi (SSE/Sig/Bhubaneswar)","T. R. Nair (SM/Bhubaneswar)",TRUE,TRUE,31.23,94.34
"BDMS-DISC-2026-00008","e-T351/BalharshahJn/2026/0008","e-T351-REC/BalharshahJn/2026/0008","2025-10-08","Balharshah Jn","Rangiya","NFR","Northeast Frontier Railway","Balharshah Jn UP Loop Line (Track 4)","AXC","Axle Counters","GR-39453","AXC-001192","Signal Cable Re-termination at Location Box","S&T Disconnection Notice",FALSE,60,60,46,0,76.7,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Deepak Chauhan (SSE/Sig/Balharshah Jn)","A. K. Singh (SM/Balharshah Jn)",TRUE,TRUE,17.64,90.81
"BDMS-DISC-2026-00009","e-T351/JaipurJn/2026/0009","e-T351-REC/JaipurJn/2026/0009","2025-09-21","Jaipur Jn","Bhopal","WCR","West Central Railway","Jaipur Jn UP Goods Line (Track 2)","CBL","Signal Cables","GR-49370","CBL-000137","Power Supply IPS Module Replacement & Load Test","S&T Disconnection Notice",FALSE,60,60,52,0,86.7,"Reconnected (Fit for Traffic)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Ramesh Tiwari (SSE/Sig/Jaipur Jn)","V. K. Gupta (SM/Jaipur Jn)",TRUE,TRUE,21.64,68.69
"BDMS-DISC-2026-00010","e-T351/KharagpurJn/2026/0010",,"2026-03-23","Kharagpur Jn","Bengaluru","SWR","South Western Railway","Kharagpur Jn UP Goods Line (Track 1)","PNT","Points/Turnouts","GR-59946","PNT-001199","Signal Cable Re-termination at Location Box","S&T Disconnection Notice",FALSE,45,45,33,0,73.3,"Pending Sanction",TRUE,TRUE,FALSE,,,FALSE,"Umesh Tripathi (SSE/Sig/Kharagpur Jn)","T. R. Nair (SM/Kharagpur Jn)",TRUE,TRUE,12.76,70.89
