"failure_id","failure_timestamp","failure_date","failure_hour","failure_month","station_code","division","zone_code","zone_name","failed_gear_type","failed_gear_type_name","gear_number","asset_id","severity","nature_of_fault","root_cause_category","environmental_factor","detection_method","detection_delay_minutes","detention_minutes","trains_affected","restoration_timestamp","restoration_duration_minutes","restoration_duration_formatted","restoration_action","attending_supervisor","reported_by","status","bdms_emergency_token","transfer_status","requested_block_minutes","traffic_impact","asset_age_years","asset_codal_expired","asset_make","is_monsoon_related","latitude","longitude","sensor_voltage_V","sensor_current_A","sensor_vibration_mm_s","sensor_temperature_C","sensor_humidity_pct","sensor_insulation_resistance_MOhm"
"SFR-000001","2026-03-08 23:35:00","2026-03-08",5,"Mar","Itarsi Jn","Trivandrum","SR","Southern Railway","TCF","Track Circuit Failure","GR-01752","TC-000532","Low","Bond wire high resistance due to corroded weld","Other","Normal","CMS Auto Alert",5,21,4,,,"Ongoing",,"Sudhir Saxena (SSE/Sig)","Control Room","Active","BDMS-EMG-2026-SR-00001","Emergency Block Granted in BDMS",45,"21m detention · 2 trains affected",28,TRUE,"Kyosan",FALSE,16.38,95.12,11.38,0,2.17,37.65,49.64,10.48
"SFR-000002","2026-06-17 17:37:00","2026-06-17",23,"Jun","Manmad Jn","Nagpur","CR","Central Railway","PF","Point Failure","GR-97206","PNT-000281","Medium","Lock stretcher bar insulation degraded below 50 Ohms","Aging/Degradation","Normal","Station Master Report",48,28,8,,,"Ongoing",,"Harish Menon (JE/Sig)","Tech/Sig","Active",,"Pending Emergency Dispatch",30,"28m detention · 2 trains affected",5,FALSE,"GE Transportation",TRUE,22.06,88.57,123.52,4.36,11.24,48.7,77.8,59.79
"SFR-000003","2025-11-10 18:20:00","2025-11-10",23,"Nov","Malda Town","Jabalpur","WCR","West Central Railway","SF","Signal Failure","GR-12870","CLS-001387","Medium","Optical alignment lost after heavy wind/storm","Other","Normal","Station Master Report",108,30,7,,,"Ongoing",,"Anand Mehta (SSE/Sig)","Tech/Sig","Active","BDMS-EMG-2026-WCR-00003","Emergency Block Granted in BDMS",60,"30m detention · 3 trains affected",20,FALSE,"Kyosan",FALSE,17.78,70.89,22.73,0.93,2.29,27.09,48.51,148.72
"SFR-000004","2026-03-07 06:58:00","2026-03-07",12,"Mar","Jammu Tawi","Ajmer","NWR","North Western Railway","RF","Relay Failure","GR-15395","RLY-001998","Low","Relay exceeding codal life (20 years) with degraded performance","Aging/Degradation","Extreme Heat","Station Master Report",229,20,3,,,"Ongoing",,"Rakesh Jha (JE/Sig)","SM/Station Master","Active",,"Pending Emergency Dispatch",60,"20m detention · 2 trains affected",31,TRUE,"Thales",FALSE,24.09,72.9,28.16,0.28,0.69,39.48,40.06,173.33
"SFR-000005","2026-01-24 12:13:00","2026-01-24",17,"Jan","Kanpur Central","Ratnagiri","KRCL","Konkan Railway","RF","Relay Failure","GR-66661","RLY-001585","Medium","Coil winding open circuit due to thermal stress","Electrical","Normal","CMS Auto Alert",5,31,7,,,"Ongoing",,"Nitin Agarwal (JE/Sig)","SM/Station Master","Active","BDMS-EMG-2026-KRCL-00005","Emergency Block Granted in BDMS",60,"31m detention · 3 trains affected",20,TRUE,"BHEL",FALSE,11.39,74.65,19.11,0.25,1.61,34.64,30.43,245.95
"SFR-000006","2026-01-29 19:47:00","2026-01-29",1,"Jan","Ranchi Jn","Alipurduar","NFR","Northeast Frontier Railway","PF","Point Failure","GR-79593","PNT-001331","High","Internal gear mechanism jam due to foreign body","Other","Normal","SSE/JE Patrol",10,25,7,,,"Ongoing",,"Nitin Agarwal (JE/Sig)","Control Room","Active","BDMS-EMG-2026-NFR-00006","Emergency Block Granted in BDMS",60,"25m detention · 2 trains affected",31,TRUE,"BHEL",FALSE,20.65,91.45,80.14,4.48,9.34,36.38,46.11,39.68
"SFR-000007","2025-09-11 19:38:00","2025-09-11",1,"Sept","Chennai Central","Bilaspur","SECR","South East Central Railway","PF","Point Failure","GR-78744","PNT-000306","High","Friction clutch torque exceeded due to heavy contamination","Mechanical","Flooding","Station Master Report",15,13,3,,,"Ongoing",,"Tapan Roy (JE/Sig)","SSE/Sig","Active","BDMS-EMG-2026-SECR-00007","Emergency Block Granted in BDMS",60,"13m detention · 1 trains affected",25,TRUE,"Medha",TRUE,18.19,90.32,116.43,3.46,6.83,43.09,73.01,105.38
"SFR-000008","2026-09-03 15:39:00","2026-09-03",21,"Sept","Bhusaval Jn","Malda","ER","Eastern Railway","ACF","Axle Counter Failure","GR-53174","AXC-001787","High","Counting error due to high-speed train wheel bounce","Environmental","Dust Storm","SSE/JE Patrol",35,51,9,,,"Ongoing",,"Pankaj Dubey (SSE/Sig)","Control Room","Active","BDMS-EMG-2026-ER-00008","Emergency Block Granted in BDMS",30,"51m detention · 5 trains affected",18,TRUE,"BHEL",TRUE,12.18,77.37,22.23,1.85,5.91,33.58,73.95,51.44
"SFR-000009","2026-08-01 14:20:00","2026-08-01",19,"Aug","Guntakal Jn","Madurai","SR","Southern Railway","OFCF","OFC Fault","GR-22638","OFC-000785","Low","OFC splice loss exceeding 0.3 dB per joint","Other","Normal","IoT Sensor Alert",27,171,22,,,"Ongoing",,"Girish Kale (SSE/Sig)","JE/Sig","Active","BDMS-EMG-2026-SR-00009","Emergency Block Granted in BDMS",90,"171m detention · 17 trains affected",20,FALSE,"Kyosan",TRUE,27.06,94.06,,,,31.09,84.91,
"SFR-000010","2026-08-13 07:03:00","2026-08-13",12,"Aug","Visakhapatnam","Tinsukia","NFR","Northeast Frontier Railway","PSF","Power Supply Failure","GR-27007","PWR-001672","High","UPS inverter failure triggering emergency switchover","Other","Dust Storm","CMS Auto Alert",18,239,31,,,"Ongoing",,"Ishwar Dayal (JE/Sig)","CMS Alert","Active",,"Pending Emergency Dispatch",60,"239m detention · 23 trains affected",13,FALSE,"BHEL",TRUE,17.83,82.86,299.17,21.95,2.19,47.85,69.37,11.56
