sample_id,dept_code,zone,division,section_id,section_encoded,track_type_encoded,from_km,to_km,km_span,elementary_section_id,defect_type,defect_severity_score,days_overdue,work_category,demanded_duration_mins,power_cut_required,traffic_cut_required,tower_wagon_required,traffic_density_trains_per_day,coa_available_free_slot_mins,concurrent_engg_block_available,concurrent_engg_block_overlap_pct,peak_hours_conflict,ambient_temp_factor,speed_risk_factor,urgency_score
ML-GEN-00640,"TRD","WR","BCT","BCT-BVI",543,1,20.696,25.607,4.911,"ES-W42A","CANTILEVER_MISALIGN",0.7139,12,"AOH_SCHEDULE",139,1,1,1,267,30,1,0.73,0,0.544,0.709,0.6395
ML-GEN-01601,"TRD","ECR","DNR","MKA-BKP",417,0,489.747,490.677,0.93,"ES-32A","CANTILEVER_MISALIGN",0.6579,10,"AOH_SCHEDULE",209,1,1,1,89,130,1,0.75,0,0.266,0.664,0.6259
ML-GEN-01124,"TRD","ECR","DNR","BXR-DNR",655,0,612.562,614.474,1.912,"ES-09B","JUMPER_HOTSPOT",0.7638,8,"POH_SCHEDULE",110,1,1,1,102,120,0,0,0,0.555,0.864,0.655
ML-GEN-01120,"TRD","ECR","DNR","MKA-BKP",417,1,489.474,491.733,2.259,"ES-32A","ANTICREEP_DEFECT",0.6813,12,"PREVENTIVE_MAINT",148,1,1,1,90,154,0,0,0,0.475,0.849,0.6671
ML-GEN-02044,"TRD","NR","DLI","NDLS-PWL",389,0,5.928,7.692,1.764,"ES-D06B","NEUTRAL_PTFE",0.9019,4,"PREVENTIVE_MAINT",117,1,1,1,120,89,1,0.92,0,0.73,0.524,0.6359
ML-GEN-01858,"TRD","ECR","DNR","BXR-DNR",655,1,615.116,615.728,0.612,"ES-09C","DROPPER_DEFECTIVE",0.4452,9,"FOOT_PATROL",40,1,0,0,115,118,1,0.94,1,0.895,0.754,0.632
ML-GEN-01145,"TRD","WR","BCT","BVI-VR",208,0,71.512,75.095,3.583,"ES-W43B","DROPPER_DEFECTIVE",0.806,14,"FOOT_PATROL",92,1,1,1,192,30,1,0.66,1,0.749,0.522,0.6584
ML-GEN-00718,"TRD","CR","BSL","BSL-NGP",465,1,607.878,612.475,4.597,"ES-C54A","ANTICREEP_DEFECT",0.5773,15,"FOOT_PATROL",60,1,0,0,74,141,0,0,0,0.412,0.204,0.6016
ML-GEN-02046,"TRD","CR","BSL","KYN-BSL",386,1,224.937,229.71,4.772,"ES-C50A","DROPPER_DEFECTIVE",0.6182,11,"AOH_SCHEDULE",200,1,1,1,86,134,1,0.94,0,0.403,0.89,0.6175
ML-GEN-01453,"TRD","ECR","DNR","MKA-BKP",417,0,490.914,492.634,1.72,"ES-32A","NEUTRAL_PTFE",0.7408,9,"FOOT_PATROL",114,1,1,1,86,136,0,0,0,0.267,0.585,0.6456
ML-GEN-01265,"TRD","CR","BSL","BSL-NGP",465,0,634.271,639.084,4.813,"ES-C53B","JUMPER_HOTSPOT",0.9616,10,"AOH_SCHEDULE",168,1,1,1,73,142,1,0.59,0,0.791,0.143,0.653
ML-GEN-02135,"TRD","NR","DLI","GZB-MB",515,1,55.993,57.69,1.697,"ES-D04A","CW_WEAR",0.5805,9,"DEFECT_ATTENDANCE",121,1,1,1,100,128,0,0,0,0.446,0.549,0.6116
ML-GEN-02403,"TRD","CR","BSL","KYN-BSL",386,1,389.634,392.656,3.022,"ES-C50B","INSULATOR_FLASHOVER",0.7942,9,"AOH_SCHEDULE",112,1,1,1,83,152,1,0.66,0,0.643,0.59,0.6276
ML-GEN-01118,"TRD","CR","BSL","KYN-BSL",386,1,183.166,186.863,3.696,"ES-C51A","ANTICREEP_DEFECT",0.3542,17,"POH_SCHEDULE",156,1,1,1,91,135,0,0,0,0.657,0.888,0.6169
ML-GEN-00939,"TRD","WR","BCT","BVI-VR",208,0,59.829,64.324,4.495,"ES-W43A","ANTICREEP_DEFECT",0.4619,8,"AOH_SCHEDULE",197,1,1,1,184,47,0,0,0,0.167,0.464,0.5947
ML-GEN-01620,"TRD","WR","BCT","BCT-BVI",543,0,45.164,46.684,1.52,"ES-W41A","NEUTRAL_PTFE",0.7084,12,"PREVENTIVE_MAINT",121,1,1,1,256,30,0,0,0,0.886,0.672,0.6448
ML-GEN-00700,"TRD","WR","BCT","BCT-BVI",543,0,16.173,20.927,4.754,"ES-W41A","DROPPER_DEFECTIVE",0.7063,12,"FOOT_PATROL",96,1,1,1,250,30,0,0,0,0.169,0.715,0.6202
ML-GEN-01745,"TRD","WR","BCT","BVI-VR",208,1,65.008,68.093,3.085,"ES-W43A","DROPPER_DEFECTIVE",0.7091,9,"PREVENTIVE_MAINT",97,1,1,1,208,30,0,0,0,0.4,0.556,0.6378
