"machine_requisition_id","timestamp_demanded","machine_type","machine_name","machine_unit_number","corridor_code","zone","section_from","section_to","track_line","km_start","km_end","span_km","quantum_target","quantum_unit","pre_work_tqi","target_post_work_tqi","primary_defect_rectified","primary_defect_name","requested_duration_hours","min_acceptable_duration_hours","requires_power_block","ohe_elementary_section","requires_st_disconnection","affected_points_signals","machine_stabling_station","shadow_block_coordinated","post_maintenance_speed_restriction_kmph","bdms_approval_status","bdms_sanctioned_duration_hours","target_grant_probability","operator_crew_in_charge"
"MBR-SCR-2026-00001","2026-07-21T10:31:00.000Z","3X","3-Sleeper Tamping (09-3X)","3X-162","SC-BZA","SCR","KZJ","WLMD","DN_MAIN","117.792","119.881","2.089","2.11","km","32.5","90.2","TWIST","Track Twist","4.3","3.2","false","N/A","false","None","KZJ","Gang Manual Off-Track Pack","45","CURTAILED","3.2","0.89","P. Nair JE/P-Way"
"MBR-SCR-2026-00002","2026-07-24T17:47:00.000Z","RGM","Rail Grinding Machine (72-Stone RGM)","RGM-9190","SC-BZA","SCR","KZJ","WLMD","SINGLE_LINE","172.789","175.505","2.716","2.66","pass-km","59.1","87.8","GAUGE_WIDE","Gauge — Wide","4.6","3.4","true","ES-KZJ-UP-02","false","None","KZJ","TRD Tower Wagon + S&T Interlocking Check","75","SANCTIONED","4.6","0.82","M. Singh PWI"
"MBR-NCR-2026-00003","2026-08-10T15:46:00.000Z","RGM","Rail Grinding Machine (72-Stone RGM)","RGM-8874","DLI-AGC","NCR","FDB","PWL","LOOP_LINE","123.316","127.406","4.09","2.92","pass-km","57.1","82.4","SUPER_ELEV","Superelevation Error","4.3","3.2","true","ES-FDB-UP-05","false","None","FDB","TRD Tower Wagon + S&T Interlocking Check","75","CURTAILED","3.2","0.78","P. Nair JE/P-Way"
"MBR-SR-2026-00004","2026-09-09T08:52:00.000Z","DUOMATIC","Plain Track Tamping (08-32)","DUO-4530","MAS-SBC","SR","AJJ","KPD","UP_MAIN","326.325","329.447","3.122","2.67","km","64.8","92.2","SURF_CRACK","Surface Crack","3.2","2.4","false","N/A","false","None","AJJ","Gang Manual Off-Track Pack","75","CURTAILED","2.4","0.91","V. Gupta AEN"
"MBR-NR-2026-00005","2026-08-18T11:50:00.000Z","RGM","Rail Grinding Machine (72-Stone RGM)","RGM-447","DLI-AMB","NR","KUN","UMB","LOOP_LINE","188.177","193.659","5.482","3.06","pass-km","45.3","89.9","SLEEPER_DEF","Sleeper Defect","3.7","2.8","true","ES-KUN-UP-05","false","None","KUN","TRD Tower Wagon + S&T Interlocking Check","75","CURTAILED","2.8","0.82","S. Sharma PWI"
"MBR-SR-2026-00006","2026-09-05T15:19:00.000Z","BCM","Ballast Cleaning Machine (RM-80 BCM)","BCM-4462","MAS-SBC","SR","KPD","JTJ","LOOP_LINE","65.633","68.59","2.957","4.43","km","36.8","86.1","TWIST","Track Twist","4.7","3.5","true","ES-KPD-UP-09","false","None","KPD","TRD Tower Wagon + S&T Interlocking Check","20","SANCTIONED","4.7","0.85","R. Kumar SSE/P-Way"
"MBR-ER-2026-00007","2026-09-11T11:19:00.000Z","DUOMATIC","Plain Track Tamping (08-32)","DUO-5470","HWH-ASN","ER","DGR","RNG","DN_MAIN","121.687","125.494","3.807","1.96","km","52.1","93.5","BALL_SETTLE","Ballast Settlement","4.2","3.2","false","N/A","false","None","DGR","Gang Manual Off-Track Pack","75","SANCTIONED","4.2","0.89","R. Kumar SSE/P-Way"
"MBR-ER-2026-00008","2026-07-16T16:38:00.000Z","DUOMATIC","Plain Track Tamping (08-32)","DUO-3404","HWH-ASN","ER","HWH","BDC","SINGLE_LINE","200.543","205.51","4.967","2.57","km","39.3","93.7","GAUGE_WIDE","Gauge — Wide","3.6","2.7","false","N/A","false","None","HWH","Gang Manual Off-Track Pack","75","SANCTIONED","3.6","0.87","R. Kumar SSE/P-Way"
"MBR-ER-2026-00009","2026-09-07T18:17:00.000Z","DTS","Dynamic Track Stabilizer (DGS-62N)","DTS-6752","HWH-ASN","ER","PAN","DGR","DN_MAIN","127.736","132.894","5.158","4.01","km","51.2","81.2","CROSS_LVL","Cross-Level Defect","3.6","2.7","false","N/A","false","None","PAN","Gang Manual Off-Track Pack","75","SANCTIONED","3.6","0.9","P. Nair JE/P-Way"
"MBR-ER-2026-00010","2026-09-14T06:48:00.000Z","BRM","Ballast Regulating Machine (USP-2000)","BRM-2494","HWH-ASN","ER","RNG","ASN","DN_MAIN","90.892","94.035","3.143","2.53","km","49.1","85","SURF_CRACK","Surface Crack","3.4","2.5","false","N/A","false","None","RNG","Gang Manual Off-Track Pack","75","SANCTIONED","3.4","0.86","P. Nair JE/P-Way"
"MBR-NCR-2026-00011","2026-07-16T19:59:00.000Z","DTS","Dynamic Track Stabilizer (DGS-62N)","DTS-428","DLI-AGC","NCR","MTJ","AGC","SINGLE_LINE","86.186","89.186","3","2.56","km","51.6","81.7","WELD_DEF","Weld Defect","4","3","false","N/A","false","None","MTJ","Gang Manual Off-Track Pack","75","SANCTIONED","4","0.84","S. Sharma PWI"
"MBR-ER-2026-00012","2026-09-13T10:59:00.000Z","RGM","Rail Grinding Machine (72-Stone RGM)","RGM-2308","HWH-ASN","ER","DGR","RNG","SINGLE_LINE","44.037","49.53","5.493","2.61","pass-km","44.8","93.4","WELD_DEF","Weld Defect","4.8","3.6","true","ES-DGR-UP-05","false","None","DGR","TRD Tower Wagon + S&T Interlocking Check","75","CURTAILED","3.6","0.75","A. Verma APWI"
"MBR-NR-2026-00013","2026-07-02T13:04:00.000Z","DUOMATIC","Plain Track Tamping (08-32)","DUO-448","DLI-AMB","NR","KUN","UMB","DN_MAIN","120.191","125.881","5.69","3.17","km","33.4","87.2","SUPER_ELEV","Superelevation Error","3.1","2.3","false","N/A","false","None","KUN","Gang Manual Off-Track Pack","75","SANCTIONED","3.1","0.8","V. Gupta AEN"
"MBR-SR-2026-00014","2026-08-18T10:05:00.000Z","BRM","Ballast Regulating Machine (USP-2000)","BRM-2175","MAS-SBC","SR","KPD","JTJ","UP_MAIN","110.987","114.496","3.509","2.92","km","41.9","91.8","ALIGN_VERT","Alignment — Vertical (Unevenness)","3.1","2.3","false","N/A","false","None","KPD","Gang Manual Off-Track Pack","75","SANCTIONED","3.1","0.85","M. Singh PWI"
"MBR-CR-2026-00015","2026-09-07T16:07:00.000Z","UNIMAT","Points & Crossing Tamping (08-475)","UNI-8958","CSTM-PUNE","CR","KJT","LNL","LOOP_LINE","31.027","31.582","0.555","4","turnouts","51.5","84.1","FISH_BOLT","Fishplate/Bolt Defect","3.3","2.5","false","N/A","true","Pt 108A/128B, Track Circuit TC-13","KJT","Gang Manual Off-Track Pack","75","CURTAILED","2.5","0.83","S. Sharma PWI"
"MBR-NCR-2026-00016","2026-08-27T21:04:00.000Z","CSM","Continuous Action Tamping (09-32 CSM)","CSM-8156","DLI-AGC","NCR","NDLS","NZM","LOOP_LINE","145.595","148.053","2.458","1.8","km","33","84.6","SURF_CRACK","Surface Crack","4.4","3.3","false","N/A","false","None","NDLS","Gang Manual Off-Track Pack","45","DEFERRED","0","0.83","S. Sharma PWI"
"MBR-SR-2026-00017","2026-08-04T20:15:00.000Z","BRM","Ballast Regulating Machine (USP-2000)","BRM-9569","MAS-SBC","SR","KPD","JTJ","DN_MAIN","5.762","9.193","3.431","1.59","km","62.6","82","DRAIN_BLOCK","Drainage Blockage","3","2.3","false","N/A","false","None","KPD","Gang Manual Off-Track Pack","75","REJECTED","0","0.84","R. Kumar SSE/P-Way"
