"caution_order_id","corridor_code","zone","section_from","section_to","track_line","km_from","km_to","normal_sectional_speed_kmph","imposed_caution_speed_kmph","speed_drop_kmph","speed_drop_pct","restriction_reason","triggering_defect_code","triggering_defect_name","defect_category","imposition_timestamp","planned_lifting_timestamp","actual_lifting_timestamp","status","average_train_detention_min","daily_impacted_trains_count","coa_direct_feed_synced","correlated_bdms_block_id","responsible_pway_officer","caution_board_displayed"
"COA-NR-2026-00001","NDLS-CNB","NR","ETW","CNB","SINGLE_LINE","33.806","34.193","100","15","85","85","Ballast Deficiency","WELD_DEF","Weld Defect","STRUCTURAL","2026-07-22T15:26:00.000Z","2026-08-21T17:16:00.000Z","2026-09-12T18:43:00.000Z","LIFTED","5.1","175","true","BDMS-NR-BLK-30677","S. Sharma PWI","true"
"COA-SCR-2026-00002","SC-BZA","SCR","SC","KZJ","UP_MAIN","171.705","174.146","100","30","70","70","Track Buckling Risk","TRACK_BUCK","Track Buckling","FOUNDATION","2026-08-03T13:32:00.000Z","2026-09-17T11:08:00.000Z","2026-08-03T21:58:00.000Z","LIFTED","6.3","127","true","BDMS-SCR-BLK-51952","D. Reddy SSE/P-Way","true"
"COA-SR-2026-00003","MAS-SBC","SR","KJM","SBC","DN_MAIN","50.482","52.93","130","75","55","42.3","Post-Accident Precaution","RAIL_FRAC","Rail Fracture","STRUCTURAL","2026-06-02T19:43:00.000Z","2026-09-05T13:48:00.000Z","","ACTIVE","4.1","82","true","BDMS-SR-BLK-75669","K. Joshi SE/P-Way","true"
"COA-WR-2026-00004","BCT-ADI","WR","PLG","VAPI","SINGLE_LINE","380.689","383.115","110","30","80","72.7","Gauge Variation","RW_RAD","Rail Wear — Radius Reduction","STRUCTURAL","2026-07-17T18:09:00.000Z","2026-09-21T10:44:00.000Z","","ACTIVE","8.9","162","true","BDMS-WR-BLK-66125","S. Sharma PWI","true"
"COA-ER-2026-00005","HWH-ASN","ER","PAN","DGR","SINGLE_LINE","21.497","24.121","110","75","35","31.8","Post-Accident Precaution","ALIGN_LAT","Alignment — Lateral","GEOMETRIC","2026-06-24T10:43:00.000Z","2026-09-21T15:14:00.000Z","","ACTIVE","2.3","114","true","BDMS-ER-BLK-79262","M. Singh PWI","true"
"COA-ER-2026-00006","HWH-ASN","ER","PAN","DGR","UP_MAIN","68.815","72.031","130","45","85","65.4","Ballast Deficiency","BALL_SETTLE","Ballast Settlement","FOUNDATION","2026-08-16T08:22:00.000Z","2026-09-21T15:45:00.000Z","2026-09-10T19:56:00.000Z","LIFTED","3.1","104","true","BDMS-ER-BLK-23584","P. Nair JE/P-Way","true"
"COA-SCR-2026-00007","SC-BZA","SCR","SC","KZJ","LOOP_LINE","242.782","245.995","100","75","25","25","Weld Defect","KINK_RAIL","Kinked Rail","STRUCTURAL","2026-06-26T21:20:00.000Z","2026-08-26T19:37:00.000Z","","ACTIVE","2","113","true","BDMS-SCR-BLK-97391","D. Reddy SSE/P-Way","true"
"COA-WR-2026-00008","BCT-ADI","WR","MMCT","BVI","UP_MAIN","470.029","472.597","100","20","80","80","Post-Accident Precaution","SLEEPER_DEF","Sleeper Defect","FOUNDATION","2026-07-24T11:55:00.000Z","2026-09-22T11:54:00.000Z","","ACTIVE","7.5","138","true","BDMS-WR-BLK-89182","R. Kumar SSE/P-Way","true"
"COA-SCR-2026-00009","SC-BZA","SCR","KZJ","WLMD","UP_MAIN","176.984","179.117","100","20","80","80","Weld Defect","SUPER_ELEV","Superelevation Error","GEOMETRIC","2026-07-15T15:36:00.000Z","2026-09-23T21:28:00.000Z","2026-08-16T18:06:00.000Z","LIFTED","9.4","151","true","BDMS-SCR-BLK-80795","S. Sharma PWI","true"
"COA-ER-2026-00010","HWH-ASN","ER","HWH","BDC","SINGLE_LINE","134.276","136.038","110","30","80","72.7","Formation Failure","SURF_CRACK","Surface Crack","STRUCTURAL","2026-07-06T10:55:00.000Z","2026-08-02T15:47:00.000Z","","ACTIVE","7.3","109","true","BDMS-ER-BLK-68589","A. Verma APWI","true"
"COA-NR-2026-00011","DLI-AMB","NR","SNP","GNU","UP_MAIN","5.445","6.713","110","75","35","31.8","Bridge Approach Settlement","FISH_BOLT","Fishplate/Bolt Defect","STRUCTURAL","2026-08-24T08:06:00.000Z","2026-09-27T11:02:00.000Z","","RAMPING","2.9","109","true","BDMS-NR-BLK-60758","R. Kumar SSE/P-Way","true"
"COA-NR-2026-00012","DLI-AMB","NR","PNP","KUN","SINGLE_LINE","124.188","125.15","100","45","55","55","Weld Defect","ALIGN_LAT","Alignment — Lateral","GEOMETRIC","2026-06-12T09:04:00.000Z","2026-09-02T07:05:00.000Z","","ACTIVE","3.3","169","true","BDMS-NR-BLK-69403","R. Kumar SSE/P-Way","true"
"COA-ER-2026-00013","HWH-ASN","ER","DGR","RNG","LOOP_LINE","159.505","161.36","130","15","115","88.5","Point/Crossing Defect","FISH_BOLT","Fishplate/Bolt Defect","STRUCTURAL","2026-06-09T06:51:00.000Z","2026-08-01T15:11:00.000Z","","RAMPING","10.2","129","true","BDMS-ER-BLK-42882","D. Reddy SSE/P-Way","true"
"COA-NR-2026-00014","DLI-AMB","NR","GNU","PNP","DN_MAIN","171.695","174.054","100","20","80","80","Track Buckling Risk","DRAIN_BLOCK","Drainage Blockage","FOUNDATION","2026-08-27T07:44:00.000Z","2026-09-11T07:55:00.000Z","","RAMPING","5.7","152","true","BDMS-NR-BLK-35356","M. Singh PWI","true"
"COA-ER-2026-00015","HWH-ASN","ER","PAN","DGR","LOOP_LINE","26.754","28.918","100","75","25","25","Rail Fracture","CROSS_LVL","Cross-Level Defect","GEOMETRIC","2026-07-07T14:11:00.000Z","2026-08-15T13:27:00.000Z","","ACTIVE","1.4","94","true","BDMS-ER-BLK-20218","V. Gupta AEN","true"
"COA-CR-2026-00016","CSTM-PUNE","CR","KJT","LNL","LOOP_LINE","10.366","11.047","130","75","55","42.3","Weld Defect","ALIGN_LAT","Alignment — Lateral","GEOMETRIC","2026-08-02T12:28:00.000Z","2026-09-08T15:54:00.000Z","2026-08-01T21:56:00.000Z","LIFTED","2.9","137","true","BDMS-CR-BLK-59002","K. Joshi SE/P-Way","true"
"COA-NR-2026-00017","NDLS-CNB","NR","ETW","CNB","DN_MAIN","396.411","396.723","130","75","55","42.3","Point/Crossing Defect","RAIL_FRAC","Rail Fracture","STRUCTURAL","2026-06-19T12:05:00.000Z","2026-09-13T17:22:00.000Z","","RAMPING","5.6","182","true","BDMS-NR-BLK-27881","M. Singh PWI","true"
"COA-CR-2026-00018","CSTM-PUNE","CR","LNV","PUNE","SINGLE_LINE","152.006","152.418","130","15","115","88.5","Track Buckling Risk","HOG_RAIL","Hogged Rail","STRUCTURAL","2026-07-05T17:35:00.000Z","2026-08-25T20:46:00.000Z","2026-09-23T09:20:00.000Z","LIFTED","7.2","181","true","BDMS-CR-BLK-48781","V. Gupta AEN","true"
"COA-SR-2026-00019","MAS-SBC","SR","KPD","JTJ","DN_MAIN","320.146","320.969","110","20","90","81.8","Bridge Approach Settlement","RAIL_FRAC","Rail Fracture","STRUCTURAL","2026-08-19T08:59:00.000Z","2026-08-11T21:38:00.000Z","","ACTIVE","7","95","true","BDMS-SR-BLK-39373","S. Sharma PWI","true"
"COA-NR-2026-00020","NDLS-CNB","NR","ALJN","TDL","SINGLE_LINE","408.72","411.692","100","30","70","70","Bridge Approach Settlement","SURF_CRACK","Surface Crack","STRUCTURAL","2026-08-23T14:08:00.000Z","2026-09-09T20:14:00.000Z","2026-08-09T19:30:00.000Z","LIFTED","9.8","138","true","BDMS-NR-BLK-20537","S. Sharma PWI","true"
"COA-SCR-2026-00021","SC-BZA","SCR","NLDA","BZA","DN_MAIN","45.653","46.231","100","75","25","25","Formation Failure","KINK_RAIL","Kinked Rail","STRUCTURAL","2026-08-08T18:06:00.000Z","2026-08-18T15:01:00.000Z","","ACTIVE","3.5","151","true","BDMS-SCR-BLK-94349","S. Sharma PWI","true"
"COA-NR-2026-00022","DLI-AMB","NR","DLI","SZM","UP_MAIN","164.296","165.13","110","30","80","72.7","Rail Fracture","RW_LAT","Rail Wear — Lateral","STRUCTURAL","2026-08-22T18:50:00.000Z","2026-08-03T16:10:00.000Z","","ACTIVE","8.7","147","true","BDMS-NR-BLK-47289","M. Singh PWI","true"
"COA-CR-2026-00023","CSTM-PUNE","CR","CSTM","KJT","DN_MAIN","8.281","11.78","110","45","65","59.1","Post-Accident Precaution","KINK_RAIL","Kinked Rail","STRUCTURAL","2026-06-15T16:50:00.000Z","2026-08-01T07:25:00.000Z","2026-08-04T13:32:00.000Z","LIFTED","3.1","187","true","BDMS-CR-BLK-11518","D. Reddy SSE/P-Way","true"
"COA-ER-2026-00024","HWH-ASN","ER","DGR","RNG","DN_MAIN","140.772","143.064","130","20","110","84.6","Weld Defect","KINK_RAIL","Kinked Rail","STRUCTURAL","2026-06-16T21:16:00.000Z","2026-08-16T14:34:00.000Z","2026-09-11T20:16:00.000Z","LIFTED","9.2","129","true","BDMS-ER-BLK-63458","D. Reddy SSE/P-Way","true"
"COA-NR-2026-00025","NDLS-CNB","NR","ALJN","TDL","DN_MAIN","121.271","124.252","130","15","115","88.5","Weld Defect","GAUGE_WIDE","Gauge — Wide","GEOMETRIC","2026-07-06T20:51:00.000Z","2026-09-16T12:25:00.000Z","2026-09-11T09:56:00.000Z","LIFTED","10.2","226","true","BDMS-NR-BLK-50023","R. Kumar SSE/P-Way","true"
"COA-ER-2026-00026","HWH-ASN","ER","PAN","DGR","UP_MAIN","144.193","144.953","110","75","35","31.8","Point/Crossing Defect","KINK_RAIL","Kinked Rail","STRUCTURAL","2026-08-17T19:12:00.000Z","2026-08-17T10:40:00.000Z","","ACTIVE","3.3","144","true","BDMS-ER-BLK-13582","M. Singh PWI","true"
"COA-NR-2026-00027","NDLS-CNB","NR","ETW","CNB","UP_MAIN","361.013","363.92","110","75","35","31.8","Formation Failure","GAUGE_TIGHT","Gauge — Tight","GEOMETRIC","2026-07-06T09:51:00.000Z","2026-09-10T06:08:00.000Z","2026-08-13T20:54:00.000Z","LIFTED","2.2","167","true","BDMS-NR-BLK-71768","M. Singh PWI","true"
"COA-SR-2026-00028","MAS-SBC","SR","KPD","JTJ","SINGLE_LINE","122.01","123.558","100","45","55","55","Weld Defect","ALIGN_VERT","Alignment — Vertical (Unevenness)","GEOMETRIC","2026-07-10T18:36:00.000Z","2026-09-19T10:34:00.000Z","2026-08-20T06:27:00.000Z","LIFTED","3.4","95","true","BDMS-SR-BLK-69998","S. Sharma PWI","true"
"COA-NR-2026-00029","NDLS-CNB","NR","TDL","ETW","UP_MAIN","171.745","174.018","130","15","115","88.5","Post-Accident Precaution","CORRUG","Corrugation","STRUCTURAL","2026-08-03T06:59:00.000Z","2026-09-04T07:41:00.000Z","2026-08-25T09:26:00.000Z","LIFTED","12.2","218","true","BDMS-NR-BLK-96690","A. Verma APWI","true"
"COA-ER-2026-00030","HWH-ASN","ER","RNG","ASN","SINGLE_LINE","8.352","9.675","130","45","85","65.4","Formation Failure","GAUGE_TIGHT","Gauge — Tight","GEOMETRIC","2026-07-04T10:14:00.000Z","2026-09-17T13:36:00.000Z","","ACTIVE","8.3","149","true","BDMS-ER-BLK-69666","A. Verma APWI","true"
"COA-NCR-2026-00031","DLI-AGC","NCR","NDLS","NZM","SINGLE_LINE","127.813","129.112","110","30","80","72.7","Gauge Variation","BALL_INSUFF","Insufficient Ballast Cushion","FOUNDATION","2026-08-16T15:17:00.000Z","2026-09-04T12:34:00.000Z","","ACTIVE","5.3","184","true","BDMS-NCR-BLK-94245","A. Verma APWI","true"
"COA-WR-2026-00032","BCT-ADI","WR","VAPI","BL","DN_MAIN","456.821","458.475","130","45","85","65.4","Bridge Approach Settlement","ALIGN_VERT","Alignment — Vertical (Unevenness)","GEOMETRIC","2026-06-01T19:32:00.000Z","2026-08-14T12:50:00.000Z","","RAMPING","9","180","true","BDMS-WR-BLK-27923","V. Gupta AEN","true"
"COA-WR-2026-00033","BCT-ADI","WR","ST","BRC","UP_MAIN","142.636","144.196","100","75","25","25","Point/Crossing Defect","ALIGN_LAT","Alignment — Lateral","GEOMETRIC","2026-07-17T08:49:00.000Z","2026-08-02T20:52:00.000Z","","ACTIVE","2.4","168","true","BDMS-WR-BLK-10278","S. Sharma PWI","true"
"COA-NCR-2026-00034","DLI-AGC","NCR","PWL","KSV","DN_MAIN","59.038","61.102","110","75","35","31.8","Bridge Approach Settlement","SQUAT","Squat Defect","STRUCTURAL","2026-08-11T17:11:00.000Z","2026-09-02T15:45:00.000Z","2026-09-10T10:22:00.000Z","LIFTED","1.5","210","true","BDMS-NCR-BLK-92348","A. Verma APWI","true"
"COA-NR-2026-00035","NDLS-CNB","NR","GZB","ALJN","LOOP_LINE","255.631","257.471","130","45","85","65.4","Post-Accident Precaution","SQUAT","Squat Defect","STRUCTURAL","2026-07-08T16:49:00.000Z","2026-08-10T21:26:00.000Z","","ACTIVE","8.9","175","true","BDMS-NR-BLK-40200","A. Verma APWI","true"
"COA-NR-2026-00036","NDLS-CNB","NR","NDLS","GZB","DN_MAIN","149.14","151.249","110","30","80","72.7","Gauge Variation","TWIST","Track Twist","GEOMETRIC","2026-07-27T06:29:00.000Z","2026-08-07T12:14:00.000Z","2026-09-13T06:08:00.000Z","LIFTED","8.9","146","true","BDMS-NR-BLK-47522","S. Sharma PWI","true"
"COA-NR-2026-00037","DLI-AMB","NR","KUN","UMB","LOOP_LINE","27.82","30.368","100","45","55","55","Ballast Deficiency","ALIGN_LAT","Alignment — Lateral","GEOMETRIC","2026-06-23T17:45:00.000Z","2026-09-20T18:02:00.000Z","2026-09-18T06:59:00.000Z","LIFTED","3.4","136","true","BDMS-NR-BLK-57790","S. Sharma PWI","true"
"COA-NCR-2026-00038","DLI-AGC","NCR","FDB","PWL","LOOP_LINE","36.1","37.617","130","15","115","88.5","Weld Defect","TRACK_BUCK","Track Buckling","FOUNDATION","2026-08-06T09:26:00.000Z","2026-08-11T21:12:00.000Z","","ACTIVE","6.2","157","true","BDMS-NCR-BLK-18682","A. Verma APWI","true"
"COA-SR-2026-00039","MAS-SBC","SR","KPD","JTJ","UP_MAIN","90.156","93.543","130","15","115","88.5","Track Buckling Risk","GAUGE_TIGHT","Gauge — Tight","GEOMETRIC","2026-08-25T09:14:00.000Z","2026-09-11T18:10:00.000Z","2026-09-09T19:28:00.000Z","LIFTED","12.3","104","true","BDMS-SR-BLK-61443","M. Singh PWI","true"
"COA-ER-2026-00040","HWH-ASN","ER","HWH","BDC","LOOP_LINE","38.638","41.381","130","45","85","65.4","Track Buckling Risk","SLEEPER_DEF","Sleeper Defect","FOUNDATION","2026-06-03T19:10:00.000Z","2026-08-23T15:00:00.000Z","","ACTIVE","8.6","114","true","BDMS-ER-BLK-85246","P. Nair JE/P-Way","true"
"COA-ER-2026-00041","HWH-ASN","ER","BWN","PAN","UP_MAIN","43.337","46.744","110","20","90","81.8","Ballast Deficiency","TWIST","Track Twist","GEOMETRIC","2026-08-16T18:36:00.000Z","2026-08-27T21:43:00.000Z","","RAMPING","11.2","104","true","BDMS-ER-BLK-93697","A. Verma APWI","true"
"COA-NR-2026-00042","NDLS-CNB","NR","GZB","ALJN","UP_MAIN","328.139","328.874","100","15","85","85","Track Buckling Risk","WELD_DEF","Weld Defect","STRUCTURAL","2026-08-25T19:39:00.000Z","2026-09-15T18:58:00.000Z","","RAMPING","9.6","146","true","BDMS-NR-BLK-87722","K. Joshi SE/P-Way","true"
"COA-WR-2026-00043","BCT-ADI","WR","BL","ST","SINGLE_LINE","41.57","43.088","130","45","85","65.4","Formation Failure","RW_VERT","Rail Wear — Vertical","STRUCTURAL","2026-06-14T06:18:00.000Z","2026-08-09T07:22:00.000Z","2026-08-13T09:57:00.000Z","LIFTED","5.1","150","true","BDMS-WR-BLK-98684","P. Nair JE/P-Way","true"
"COA-NCR-2026-00044","DLI-AGC","NCR","NDLS","NZM","SINGLE_LINE","124.245","127.093","100","15","85","85","Bridge Approach Settlement","GAUGE_WIDE","Gauge — Wide","GEOMETRIC","2026-06-11T14:03:00.000Z","2026-08-19T09:35:00.000Z","","RAMPING","7.6","203","true","BDMS-NCR-BLK-74622","S. Sharma PWI","true"
"COA-SR-2026-00045","MAS-SBC","SR","MAS","AJJ","SINGLE_LINE","249.397","250.691","130","45","85","65.4","Track Buckling Risk","SURF_CRACK","Surface Crack","STRUCTURAL","2026-08-09T20:45:00.000Z","2026-08-08T18:30:00.000Z","2026-09-20T17:39:00.000Z","LIFTED","6.4","121","true","BDMS-SR-BLK-78782","P. Nair JE/P-Way","true"
"COA-SR-2026-00046","MAS-SBC","SR","KPD","JTJ","DN_MAIN","64.015","66.026","110","30","80","72.7","Track Buckling Risk","TRACK_BUCK","Track Buckling","FOUNDATION","2026-07-16T13:48:00.000Z","2026-09-24T13:46:00.000Z","2026-08-09T09:50:00.000Z","LIFTED","7.3","134","true","BDMS-SR-BLK-68867","P. Nair JE/P-Way","true"
"COA-WR-2026-00047","BCT-ADI","WR","VAPI","BL","SINGLE_LINE","266.332","269.369","130","45","85","65.4","Post-Accident Precaution","SQUAT","Squat Defect","STRUCTURAL","2026-08-26T11:47:00.000Z","2026-08-27T15:00:00.000Z","","RAMPING","8.4","162","true","BDMS-WR-BLK-62479","V. Gupta AEN","true"
"COA-CR-2026-00048","CSTM-PUNE","CR","LNV","PUNE","UP_MAIN","38.197","41.392","130","45","85","65.4","Formation Failure","SUPER_ELEV","Superelevation Error","GEOMETRIC","2026-06-02T18:33:00.000Z","2026-08-09T06:01:00.000Z","","ACTIVE","8.4","156","true","BDMS-CR-BLK-39046","D. Reddy SSE/P-Way","true"
"COA-NR-2026-00049","NDLS-CNB","NR","ALJN","TDL","SINGLE_LINE","47.621","48.573","100","30","70","70","Formation Failure","BALL_FOUL","Ballast Fouling","FOUNDATION","2026-06-20T16:50:00.000Z","2026-09-18T21:38:00.000Z","","ACTIVE","3.9","167","true","BDMS-NR-BLK-29683","P. Nair JE/P-Way","true"
"COA-NR-2026-00050","DLI-AMB","NR","GNU","PNP","LOOP_LINE","165.974","167.24","100","75","25","25","Track Buckling Risk","TRACK_BUCK","Track Buckling","FOUNDATION","2026-08-07T07:48:00.000Z","2026-08-17T13:07:00.000Z","2026-09-25T10:15:00.000Z","LIFTED","1.9","114","true","BDMS-NR-BLK-39152","V. Gupta AEN","true"
"COA-CR-2026-00051","CSTM-PUNE","CR","KJT","LNL","LOOP_LINE","14.822","16.691","130","15","115","88.5","Weld Defect","GAUGE_WIDE","Gauge — Wide","GEOMETRIC","2026-06-05T13:36:00.000Z","2026-09-02T10:03:00.000Z","","RAMPING","10.2","181","true","BDMS-CR-BLK-77430","R. Kumar SSE/P-Way","true"
"COA-SR-2026-00052","MAS-SBC","SR","AJJ","KPD","LOOP_LINE","123.333","123.92","130","30","100","76.9","Weld Defect","BALL_FOUL","Ballast Fouling","FOUNDATION","2026-08-25T16:42:00.000Z","2026-09-10T15:21:00.000Z","2026-08-03T21:40:00.000Z","LIFTED","10.3","104","true","BDMS-SR-BLK-25460","D. Reddy SSE/P-Way","true"
